metric（指标）,value（数值）,description（说明）
total_samples,72,总样本数
experiment_type,attack,实验类型
prompt_mode,neutral,Prompt模式
persistent_mode,False,持久污染模式
repeats,3,每条样本重复次数
attack_success_count,34,攻击成功次数
attack_success_rate,47.2%,攻击成功率
attack_success_rate_mean,47.2%,攻击成功率均值(重复实验)
attack_success_rate_std,0.500,攻击成功率标准差
baseline_malicious_count,0,基线恶意回复次数
baseline_malicious_rate,N/A,基线恶意率
defense_applicable_count,34,防御适用样本数(攻击已成功)
defense_block_count,34,防御拦截次数
defense_block_rate,100.0%,防御拦截率(分母=攻击成功数)
defense_na_count,38,防御不适用样本数
agents_tested,5,参与测试Agent数
pilot_mode,False,是否试跑模式
holdout_mode,False,是否Holdout集
